metadata,category,readcode,readterm,medcode
Name: chlamydia_test_cprd,1,4149,Cervical cytology sample sent to laboratory,
Version: 1                          ,1,4JRL.00,Cervical cytology screening test,
Source: cprd,1,4K2..00,Cervical smear result,
Author: N PATHAK / Based on Carr 2015,1,4K21.00,Cervical smear:inadequate spec,
Date: 3/12/2020,1,4K2..11,Dyskaryosis on cervical smear,
Categories:,1,4K2..12,Dysplasia (dysk.)on cerv.smear,
1. Definite,1,4K22.00,Cervical smear: negative,
2. Offered,1,4K22.11,Smear NAD: no endocervic cells,
,1,4K23.00,Cerv.smear: mild dyskaryosis,
,1,4K24.00,Cerv.smear: severe dyskaryosis,
,1,4K25.00,Cerv.smear:severe dysk.?inv.ca,
,1,4K26.00,Cervical smear: ? gland neopl.,
,1,4K27.00,Cervical smear:atrophic change,
,1,4K27.11,Atrophic change on cerv.smear,
,1,4K28.00,Cerv.smear: mod.dyskaryosis,
,1,4K29.00,Cerv.smear: borderline changes,
,1,4K2A.00,Cervical smear endocervical cells present,
,1,4K2B.00,Cervical smear endocervical cells absent,
,1,4K2C.00,Smear NAD - no endocervical cells,
,1,4K2D.00,Cervical smear transformation zone cells present,
,1,4K2E.00,Cervical smear transformation zone cells absent,
,1,4K2Z.00,Cervical smear result NOS,
,1,4K2Z.11,Nuclear abnormality on smear,
,1,4K3..00,Cervical smear - inflam.change,
,1,4K31.00,Cervical smear-no inflammation,
,1,4K32.00,Cervical smear-severe inflamm.,
,1,4K33.00,Cervical smear - trichomonas,
,1,4K34.00,Cervical smear - candida,
,1,4K35.00,Cerv.smear - viral infl.unsp.,
,1,4K35.11,Viral changes on cerv. smear,
,1,4K36.00,Cervical smear - wart virus,
,1,4K36.12,HPV changes: cervical smear,
,1,4K3A.00,Cervical smear: koilocytosis,
,1,4K3B.00,Cervical smear - mild inflammation,
,1,4K3C.00,Cervical smear - moderate inflammation,
,1,4K3Z.00,Cervical smear - inflam. NOS,
,1,4K4..00,Cervical smear - action needed,
,1,4K48.00,Cx. smear: colposcopy needed,
,1,4K49.00,Cx. smear:cervical biopsy need,
,1,4K4Z.00,Cervical smear action NOS,
,1,4K55.00,Cervical cytology test,
,1,4KA..00,Vaginal vault smear result,
,1,4KA1.00,Vaginal vault smear negative,
,1,4KA4.00,Vaginal vault smear abnormal,
,1,685..00,Cervical neoplasia screening,
,1,685..11,Cervical cytology screen,
,1,685..12,Cervical smear screen,
,1,6859,Ca cervix - screen done,
,1,6859.11,Cervical cytology examination,
,1,685A.00,Ca cervix screen-no result yet,
,1,685B.00,Ca cervix screen normal,
,1,685C.00,Ca cervix screen abnormal,
,1,685D.00,Ca cervix screen + fee claim,
,1,685E.00,Cervical smear status unknown,
,1,685R.00,Liquid based cervical cytology screening,
,1,685Z.00,Ca cervix screen NOS,
,1,7E2A000,Exam female genital tract under anaesth & Papanicolau smear,
,1,7E2A200,Papanicolau smear NEC,
,1,7E2A211,Cervical smear NEC,
,1,7E2A300,Vaginal vault smear,
,1,981..00,FP74 - cervical cytology claim,
,1,981..11,Cervical smear - fee claim,
,3,9O81.00,Cervical smear - 1st call,
,3,9O8A.00,Abnormal smear - 1st recall,
,1,9O8R.00,Smear normal - pt. notified,
,1,9O8T.00,Cervical smear slide lost in transit,
,1,9O8U.00,Cervical smear slide broken in transit,
,1,9O8V.00,Place cervical smear taken,
,1,R150.00,[D]Nonspecific abnormal Papanicolaou cervical smear,
,1,R150000,[D]Dyskaryotic cervical smear,
,1,R150100,[D] Koilocytosis - cervical smear,
,1,R150.11,[D]Cervical smear - nonspecific abnormality,
,1,R150.12,[D]Papanicolaou smear - nonspecific abnormality,
,1,R150z00,[D]Nonspecific abnormal Papanicolaou cervical smear NOS,
,1,R151.00,[D]Nonspecific abnormal Papanicolaou smear of other origin,
,1,ZV76200,[V]Screening for malignant neoplasm of cervix,
,1,ZV76211,[V]Routine Papanicolaou smear,
,1,ZV76212,[V]Routine cervical smear,
