metadata,category,readcode,readterm,medcode
Name: ethnic_gprd_v2,1,9S10.00,White British,12446
Version: 5                       ,1,9S13.00,White Scottish,26467
Source: cprd,1,9S14.00,Other white British ethnic group,26310
"Author: Neha Pathak, Claire Zhang",1,9i00.00,White British - ethnic category 2001 census,98111
Date: 20 Oct 2020,1,9i20.00,English - ethnic category 2001 census,12352
Categories (2011 census E & W):,1,9i21.00,Scottish - ethnic category 2001 census,12436
1. British,1,9i22.00,Welsh - ethnic category 2001 census,12681
2. Irish,1,9i23.00,Cornish - ethnic category 2001 census,28887
3. Gypsy or Irish Traveller,1,9t20.00,White: Scottish - Scotland ethnic category 2011 census,110432
4. Other White,1,9t21.00,White: other British - Scotland ethnic category 2011 census,110694
5. Mixed White and Black Caribbean,1,9t00.00,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,110420
6. Mixed White and Black African,2,9S11.00,White Irish,24837
7. Mixed White and Asian,2,9SA9.00,Irish (NMO),24270
8. Other Mixed,2,9i1..00,Irish - ethnic category 2001 census,12532
9. Indian,2,9i10.00,White Irish - ethnic category 2001 census,98213
10. Pakistani,1,9i24.00,Northern Irish - ethnic category 2001 census,42294
11. Bangladeshi,2,9t22.00,White: Irish - Scotland ethnic category 2011 census,110687
12. Chinese,2,9t10.00,White - Northern Ireland ethnic category 2011 census,112899
13. Other Asian,2,9t01.00,White: Irish - England and Wales ethnic category 2011 census,110556
14. African,3,9SI..00,Irish traveller,47601
15. Caribbean,3,9i2C.00,Irish Traveller - ethnic category 2001 census,55223
16. Other Black,3,9i2D.00,Traveller - ethnic category 2001 census,55113
17. Arab,3,9i2E.00,Gypsy/Romany - ethnic category 2001 census,42290
18. Any other ethnic group,3,9t02.00,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census,111386
19. Ethnic group not specified,3,9t23.00,White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens,113253
,3,9T2..00,Traveller - gypsy,32781
,4,9S12.00,Other white ethnic group,12444
,4,9SAA.00,Greek/Greek Cypriot (NMO),45947
,4,9SAA.11,Greek (NMO),45955
,4,9SAA.12,Greek Cypriot (NMO),47949
,4,9SAB.00,Turkish/Turkish Cypriot (NMO),32066
,4,9SAB.11,Turkish (NMO),32126
,4,9SAB.12,Turkish Cypriot (NMO),32069
,4,9SAC.00,Other European (NMO),12633
,4,9T1..00,New Zealand ethnic groups,45008
,4,9T1Y.00,Other New Zealand ethnic group,96789
,4,9T1Z.00,New Zealand ethnic group NOS,71425
,4,9i2..00,Other White background - ethnic category 2001 census,12421
,4,9i26.00,Cypriot (part not stated) - ethnic category 2001 census,32778
,4,9i27.00,Greek - ethnic category 2001 census,12355
,4,9i28.00,Greek Cypriot - ethnic category 2001 census,12769
,4,9i29.00,Turkish - ethnic category 2001 census,12746
,4,9i2A.00,Turkish Cypriot - ethnic category 2001 census,32413
,4,9i2B.00,Italian - ethnic category 2001 census,12412
,4,9i2F.00,Polish - ethnic category 2001 census,12467
,4,9i2G.00,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,12433
,4,9i2H.00,Commonwealth (Russian) Indep States - ethn categ 2001 census,28973
,4,9i2J.00,Kosovan - ethnic category 2001 census,26341
,4,9i2K.00,Albanian - ethnic category 2001 census,25422
,4,9i2L.00,Bosnian - ethnic category 2001 census,46956
,4,9i2M.00,Croatian - ethnic category 2001 census,28866
,4,9i2N.00,Serbian - ethnic category 2001 census,47074
,4,9i2P.00,Other republics former Yugoslavia - ethnic categ 2001 census,28936
,4,9i2T.00,Other White or White unspecified ethnic category 2001 census,12591
,4,9S1..00,White,22467
,4,9i25.00,Ulster Scots - ethnic category 2001 census,40102
,4,9i2Q.00,Mixed Irish and other White - ethnic category 2001 census,26391
,4,9i2R.00,Oth White European/European unsp/Mixed European 2001 census,12402
,4,9i2S.00,Other mixed White - ethnic category 2001 census,28900
,4,9t24.00,White: Polish - Scotland ethnic category 2011 census,110465
,4,9t03.00,White: other White backgrd- Eng+Wales ethnic cat 2011 census,110407
,4,9t25.00,White: other White ethnic grp- Scotland ethnic cat 2011 cens,110695
,4,9T11.00,New Zealand European,57286
,4,9T12.00,Other European in New Zealand,85505
,5,9SB5.00,Black Caribbean and White,32425
,5,9i3..00,White and Black Caribbean - ethnic category 2001 census,12742
,5,9t12.00,Mixed: White and Black Caribbean - NI ethnic cat 2011 census,110661
,5,9t04.00,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census,110445
,6,9SB6.00,Black African and White,32443
