metadata,category,readcode,readterm,medcode
Name: infertility_management_cprd,1,7E0A000,Implantation of fertilised egg into uterus,
Version: 1                          ,1,7E0A700,Transfer of embryo to uterus,
Source: cprd,1,7M0h.00,In vitro fertilisation (IVF),
Author: Neha Pathak,1,7M0h000,IVF with donor sperm,
Date: 23 Oct 2019      ,1,7M0h011,In vitro fertilisation with donor sperm,
Categories:,1,7M0h100,IVF with donor eggs,
1. In vitro fertilisation,1,7M0h111,In vitro fertilisation with donor eggs,
2. Other Assisted reproductive treatments,1,7M0h200,IVF with intracytoplasmic sperm injection (ICSI),
3. Infertility investigations,1,7M0h211,In vitro fertilisatn with intra-cytoplasmic sperm injection,
4. Referral to infertility clinic,1,7M0h300,IVF intracytoplasmic sperm injection (ICSI) and donor egg,
,1,7M0h311,In vitro fertilis intra-cytoplasmic sperm inj and donor egg,
,1,7M0h500,IVF with surrogacy,
,1,7M0h511,In vitro fertilisation with surrogacy,
,1,7M0hy00,Other specified in vitro fertilisation (IVF),
,1,7M0hz00,In vitro fertilisation (IVF) NOS,
,1,8C81.13,Gamete intrafallopian transfer,
,1,8C84.00,In vitro fertilisation procedure,
,1,8C84.11,IVF,
,1,8C8Z.11,In-vitro fertilisation,
,1,SP0D200,Compltns of attemptd intro fertil ovum follow in vitro fert,
,1,ZV26700,[V]In vitro fertilization,
,2,7E0A.00,Introduction of gamete into uterine cavity,
,2,7E0A100,Intracervical artificial insemination,
,2,7E0A200,Intrauterine artificial insemination,
,2,7E0A211,Artficial insemination NEC,
,2,7E0A300,Intrauterine insemination superovulation partner sperm,
,2,7E0A400,Intrauterine insemination superovulation using donor sperm,
,2,7E0A600,Intrauterine insemination without superovulation donor sperm,
,2,7E0Az00,Introduction of gamete into uterine cavity NOS,
,2,8C8..00,Treatment for infertility,
,2,8C81.00,Artificial insemination,
,2,8C81.11,Artificial insemin by donor,
,2,8C81.12,Artificial insemin by husband,
,2,8C82.00,Female infertility therapy,
,2,8C85.00,Gamete intrafallopian transfer,
,2,8C85.11,GIFT,
,2,8C8Z.00,Treatment for infertility NOS,
,2,8Cf..00,Infertility care,
,2,SP0D.00,Complications associated with artificial fertilization,
,2,SP0DX00,"Complication assoc with artific fertilization, unspecif",
,2,ZV26.00,[V]Infertility management,
,2,ZV26800,[V]Other assisted fertilization methods,
,2,ZV26y00,[V]Other specified infertility management,
,2,ZV26z00,[V]Unspecified infertility management,
,2,ZVu2100,[X]Other assisted fertilization methods,
,3,3189,Infertility investigations NOS,
,3,3189.11,Infertility investigation -fem,
,3,3189100,Female infertility test abnormal,
,3,4Z0..00,Infertility studies,
,3,7E29000,Fertility investigation of female NEC,
,3,7E29200,Fertiloscopy,
,3,ZV26200,[V]Infertility investigation and testing,
,4,8HTB.00,Referral to fertility clinic,
,4,9N07.00,Seen in fertility clinic,
,4,9N1y600,Seen in fertility clinic,
